"ID_matrix_to_relationship";"ID_matrix";"ID_relationship";"relationship_weight"
694;32;405;1
695;32;400;1
696;32;412;-0.9
697;32;402;1
698;32;415;1
699;32;399;-1
700;32;413;0.9
701;32;91;0.8
702;32;622;1
703;32;620;0.5
704;32;621;0.8
705;32;623;1
706;32;627;1
707;33;556;0.6
708;33;554;0.4
709;33;73;0.1
710;33;70;0.1
711;33;629;0.1
712;33;628;0.1
713;33;625;0.1
714;33;626;0.3
715;33;624;0.5
716;33;152;-0.6
717;33;630;0.7
718;33;631;-0.9
719;33;249;0.3
720;33;373;0.7
721;33;371;0.8
722;33;423;1
723;33;425;0.4
724;33;566;-0.1
725;33;572;-0.8
726;33;16;0.7
727;33;460;0.7
728;33;632;-0.6
729;33;77;0.9
730;33;76;1
731;34;126;-1
732;34;600;-0.7
733;34;267;1
734;34;47;0.8
735;34;58;0.5
736;34;16;-1
737;34;17;1
738;34;197;0.8
739;34;209;0.8
740;34;235;-0.6
741;34;237;-0.8
742;34;222;-0.5
743;34;88;0.2
744;35;104;-0.8
745;35;121;-0.8
746;35;348;-0.8
747;35;364;-0.8
748;35;391;1
749;35;392;1
750;35;391;1
751;35;392;1
752;35;59;0.5
753;35;40;-1
754;35;50;-0.7
755;35;45;-0.8
756;35;46;-0.8
757;35;45;-0.8
758;35;428;0.8
759;35;378;0.7
760;35;379;1
761;35;379;0.6
762;35;233;0.8
763;35;234;0.8
764;35;233;0.8
765;35;469;0.8
766;36;104;-1
767;36;171;1
768;36;185;0.8
769;36;180;1
770;36;167;-0.8
771;36;177;0.7
772;36;168;1
773;36;162;-1
774;36;156;1
775;36;163;-1
776;36;31;-1
777;36;42;1
778;36;19;-0.5
779;36;22;1
780;36;41;-1
781;36;38;0.7
782;36;472;-1
783;36;633;-0.5
784;36;559;1
785;36;529;1
786;36;526;1
787;37;563;0.5
788;37;634;0.8
789;37;111;-1
790;37;474;-1
791;37;111;-1
792;37;119;0.1
793;37;354;-1
794;37;362;0.1
795;37;570;-1
796;37;575;0.1
797;37;404;-1
798;37;414;0.1
799;37;636;-1
800;37;638;0.1
801;37;214;-1
802;37;217;0.1
803;37;202;-1
804;37;206;0.1
805;37;304;1
806;37;309;1
807;37;317;1
808;37;318;1
809;37;320;1
810;37;307;1
811;37;308;1
812;37;570;-1
813;37;41;-1
814;37;23;-0.8
815;37;16;-0.8
816;37;26;-1
817;37;231;1
818;37;228;1
819;37;239;1
820;37;232;1
821;37;226;1
822;37;221;1
823;37;227;1
824;37;87;1
825;37;83;1
826;38;126;-0.7
827;38;31;-1
828;38;35;-0.8
829;38;38;1
830;38;16;-1
831;38;17;1
832;38;173;0.8
833;38;175;1
834;38;164;-1
835;38;144;0.9
836;38;148;1
837;38;139;-1
838;38;542;0.8
839;38;543;1
840;38;541;-0.7
841;38;640;0.7
842;38;641;0.7
843;38;642;0.5
844;38;639;0.5
845;38;2;1
846;38;4;1
847;38;5;1
848;38;3;-1
849;38;6;0.8
850;38;330;-0.8
851;38;332;-0.9
852;38;333;-0.8
853;38;334;-0.7
854;38;326;-0.7
855;38;436;1
856;38;205;1
857;38;197;0.8
858;38;637;0.8
859;38;635;0.4
860;38;83;1
861;38;85;1
862;38;86;1
863;38;353;0.8
864;38;355;0.8
865;38;356;0.7
866;38;345;0.8
867;39;472;-1
868;39;181;-0.4
869;39;178;0.6
870;39;264;0.4
871;39;259;0.7
872;39;255;0.6
873;39;285;-0.4
874;39;280;-0.7
875;39;275;-0.6
876;39;104;-1
877;39;593;1
878;39;594;1
879;39;55;0.8
880;39;31;-0.8
881;39;34;0.5
882;39;643;0.2
883;39;644;0.6
884;39;304;0.5
885;39;645;1
886;39;645;1
887;39;55;-0.9
888;39;42;1
889;39;31;-0.8
890;39;22;0.6
891;40;104;-0.3
892;40;102;0.2
893;40;110;0.5
894;40;104;-0.3
895;40;496;-0.5
896;40;495;-0.2
897;40;493;0.5
898;40;597;0.7
899;40;597;0.5
900;40;599;0.9
901;40;646;-0.8
902;40;647;0.4
903;40;20;0.8
904;40;60;0.7
905;40;16;-0.7
906;40;503;-0.2
907;40;504;0.7
908;40;509;0.5
909;40;509;0.3
910;40;326;-0.2
911;41;618;0.8
912;41;168;0.9
913;41;160;-0.7
914;41;160;-0.7
915;41;159;0.8
916;41;648;0.9
917;41;31;-0.9
918;41;29;-0.8
919;41;483;0.8
920;41;259;0.6
921;41;272;-0.7
922;41;280;-0.6
923;41;290;0.7
924;41;649;0.6
925;41;91;0.8
926;41;650;0.6
927;41;652;0.8
928;41;651;0.9
929;41;104;-1
930;41;108;0.8
931;41;191;0.6
932;41;196;0.9
